id_estudiante,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,tipo_documento,numero_documento,correo_electronico,telefono,direccion,fecha_nacimiento,promedio_academico,historial_notas,materias_perdidas,semestre_cursado,creditos_matriculados,creditos_aprobados,asistencia_clases,rendimiento_periodo,estado_pagos,mora_matricula,becas_apoyos,estrato,ingresos_familiares,num_dependientes,situacion_laboral,horas_trabajo_semanales,lugar_residencia,tipo_vivienda,edad,genero,programa_academico,ciudad_origen,estado_estudiante,atenciones_psicologicas,seguimientos_realizados,casos_riesgo,participacion_institucional,evaluacion_docente
EST-0001,Juan,Manuel,Reyes,,CC,7382466596,juan.reyes29@email.com,315 401 42 98,"Diagonal 114 # 1-8 Sur, 208511, La Paz, Cesar",2005-01-27,4.02,3.94;4.35;4.13;4.15;3.89;4.05;4.04;3.86;3.81,2,9,19,13,84,-0.05,Pago parcial,False,Sí,5,2687000.0,1,No trabaja,0,Ciudad cercana,Arrendada,17,Masculino,Ingeniería de Sistemas,Huánuco,Activo,1,0,True,1,3.6
EST-0002,Orlando,,Vargas,Ochoa,CC,9087265262,orlando.vargas13@email.com,57 609 344 50 03,"Av. La Guajira # 4-14 Este, 474220, Algarrobo, Magdalena",1999-07-24,3.76,3.76,4,1,13,0,58,0.0,Al día,True,No,3,1803000.0,5,Medio tiempo,19,Misma ciudad,Familiar,20,Femenino,Ingeniería de Sistemas,Bagua,Desertor,1,4,True,0,3.9
EST-0003,Leidy,David,Gutiérrez,Hernández,CC,7396914846,leidy.gutiérrez66@email.com,(+57)3058221098,"Cr. 191B # 48-3 Sur, 669102, Balboa, Risaralda",2007-11-23,3.94,4.19;4.01;4.16;4.04;3.99;3.89;4.11;3.68;3.36,2,9,20,15,86,-0.32,Al día,False,Sí,3,1879000.0,6,Tiempo completo,46,Ciudad lejana,Propia,23,Masculino,Ingeniería de Sistemas,Iquitos,Activo,0,0,False,3,4.3
EST-0004,Liliana,,Arévalo,Reyes,CC,2704143377,liliana.arévalo74@email.com,+573137394494,"Diagonal 55C # 5-1 Sur, 230036, San Carlos, Córdoba",1996-06-01,2.78,2.83;2.73,7,2,15,0,68,-0.1,Pago parcial,False,No,4,1083000.0,3,No trabaja,0,Ciudad cercana,Familiar,26,Femenino,Ingeniería de Sistemas,Lima,Desertor,0,3,True,1,3.5
EST-0005,Joel,,Castro,,CC,7717220856,joel.castro23@email.com,573133738128,"Cl. 1T # 1-67 Este, 686722, Puerto Parra, Santander",2000-04-08,2.82,2.82,7,1,14,0,72,0.0,En mora,True,Sí,2,539000.0,5,Tiempo completo,40,Misma ciudad,Familiar,32,Femenino,Ingeniería de Sistemas,Lima,Desertor,3,3,False,0,3.7
EST-0006,Juan,,Castro,,CC,6345330589,juan.castro22@email.com,+573188088422,"Calle 118I Este # 6-89 Este, 276937, Medio Baudó, Chocó",2000-10-21,3.61,3.82;3.87;3.74;3.73;3.50;3.52;3.53;3.57;3.34;3.43,3,10,21,10,65,0.09,Al día,False,No,2,2143000.0,1,Tiempo completo,44,Misma ciudad,Propia,25,Femenino,Ingeniería de Sistemas,Lima,Activo,0,0,False,2,4.1
EST-0007,Antonio,Jhon,Barrios,Arrieta,CC,6980755299,antonio.barrios71@email.com,782 11 07,"Tr. 81 # 4-1 Sur, 501500, El Dorado, Meta",2003-09-27,2.89,2.71;2.90;3.07;2.86;2.89,7,5,18,0,64,0.03,En mora,False,No,3,1809000.0,3,No trabaja,0,Misma ciudad,Arrendada,28,Femenino,Ingeniería de Sistemas,Moquegua,Desertor,1,2,True,1,3.5
EST-0008,Johanna,Tatiana,Méndez,,CC,8165335534,johanna.méndez18@email.com,57 606 730 34 24,"Cr. 5ª # 2-19, Oficina 9, 054837, Venecia, Antioquia",2000-09-16,4.17,4.17,1,1,15,12,70,0.0,Pago parcial,False,No,4,953000.0,2,Tiempo completo,37,Ciudad cercana,Arrendada,16,Masculino,Ingeniería de Sistemas,Lima,Activo,0,0,False,4,4.5
EST-0009,Sergio,Andrés,Pulido,,CC,4591112766,sergio.pulido83@email.com,(+57)3260226429,"Cl. 94 # 95-80, Local 1, 206182, La Gloria, Cesar",1999-09-01,4.06,4.01;4.10,1,2,18,13,75,0.09,Al día,False,No,4,1932000.0,1,Medio tiempo,26,Ciudad cercana,Familiar,22,Femenino,Ingeniería de Sistemas,Lima,Activo,1,2,False,0,5.0
EST-0010,Dagoberto,,Rodríguez,Guzmán,CC,6481233213,dagoberto.rodríguez46@email.com,404 66 98,"Avenida carrera 4ª # 2I-3, Casa 3, 157017, Pisba, Boyacá",2002-11-13,3.69,3.69,3,1,15,7,74,0.0,Pago parcial,False,No,2,954000.0,2,Medio tiempo,28,Ciudad cercana,Propia,16,Femenino,Ingeniería de Sistemas,Lima,Activo,0,2,True,1,4.8
